"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#EgyptAttack https://t.co/8NfBekFqEJ",FALSE,0,NA,2017-11-24 22:22:54,FALSE,NA,"934268634272329728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrMoha_",0,FALSE,FALSE,NA,NA
"RT @invisibleman_17: #PrayForEgypt #EgyptAttack #Sinai #BirAlAbed
Heartbreaking news coming out of #Egypt with at least 184 killed &amp; 120 wo…",FALSE,0,NA,2017-11-24 22:22:50,FALSE,NA,"934268617734025216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AIMUBNJ__002",263,TRUE,FALSE,NA,NA
"RT @invisibleman_17: #PrayForEgypt #EgyptAttack #Sinai #BirAlAbed
Heartbreaking news coming out of #Egypt with at least 184 killed &amp; 120 wo…",FALSE,0,NA,2017-11-24 22:22:47,FALSE,NA,"934268603876098048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rroocket",263,TRUE,FALSE,NA,NA
"RT @islamicfreedom: At least 235 dead after bombing, shooting attack on Egypt mosque, #EgyptAttack #EgyptMosqueAttack https://t.co/IzJVJiO7…",FALSE,0,NA,2017-11-24 22:22:18,FALSE,NA,"934268481654132736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Azeeznum1",554,TRUE,FALSE,NA,NA
"RT @WahabViki: Heartbroken. Have no words. My thoughts and Prayers for the victims n their families #egyptattack",FALSE,0,NA,2017-11-24 22:22:17,FALSE,NA,"934268478063865856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingAtharAli_",144,TRUE,FALSE,NA,NA
"Not a word from Rahul Gandhi on #EgyptAttack  ! His primitive radar has not caught this horrendous tragedy  !

#Egypt  @OfficeOfRG",FALSE,0,NA,2017-11-24 22:22:14,FALSE,NA,"934268465711497216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irajvirsingh",0,FALSE,FALSE,NA,NA
"Thoughts and prayers with all@those affected in the Egypt events #EgyptAttack.. pray for humanity",FALSE,0,NA,2017-11-24 22:21:58,FALSE,NA,"934268397344272384",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","vinaykrock10",0,FALSE,FALSE,NA,NA
"Thoughts and prayers with all@those affected in the Egypt events #EgyptAttack.. pray for humanity",FALSE,0,NA,2017-11-24 22:21:58,FALSE,NA,"934268397180694528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rohanguptas100",0,FALSE,FALSE,NA,NA
"Attack on place of worship Rawdah Mosque yet again proves that terrorist &amp; terrorism has no religion &amp; high time Na… https://t.co/ghTHWEap7d",FALSE,75,NA,2017-11-24 22:21:31,TRUE,NA,"934268285528313856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaiveerShergill",20,FALSE,FALSE,NA,NA
"RT @News18Northeast: <U+0987><U+099C><U+09BF><U+09AA><U+09CD><U+09A4><U+09A4> <U+09B8><U+09A8><U+09CD><U+09A4><U+09CD><U+09F0><U+09BE><U+09B8><U+09AC><U+09BE><U+09A6><U+09C0><U+09F0> <U+09A8><U+09F0><U+09B8><U+0982><U+09B9><U+09BE><U+09F0>, <U+09AE><U+099B><U+099C><U+09BF><U+09A6><U+09A4> <U+09A7><U+09BE><U+09F0><U+09BE><U+09B8><U+09BE><U+09F0> <U+0997><U+09C1><U+09B2><U+09C0><U+09AC><U+09F0><U+09CD><U+09B7><U+09A3>, <U+09AC><U+09CB><U+09AE><U+09BE> <U+09A8><U+09BF><U+0995><U+09CD><U+09B7><U+09C7><U+09AA>, <U+098F><U+0987><U+09AA><U+09F0><U+09CD><U+09AF><U+09A8><U+09CD><U+09A4> <U+09A8><U+09BF><U+09B9><U+09A4> <U+09E8><U+09E9><U+09EB>, <U+0986><U+09B9><U+09A4> <U+09E7><U+09E7><U+09E7><U+099C><U+09A8> #EgyptAttack",FALSE,0,NA,2017-11-24 22:21:11,FALSE,NA,"934268198999941120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tulika_devi",2,TRUE,FALSE,NA,NA
